ISBN;title;author;year;publisher
1944711;Count Duckula: Vampire Vacation;Maureen Spurgeon;1988;HarperCollins Publishers
1944835;Hilda Boswell's Blue Treasury;Hilda Boswell;1988;HarperCollins Publishers
1945203;The Revenge of Murray the Mantis;Maureen Spurgeon;1988;HarperCollins Publishers
1952404;Friend Monkey;P. L Travers;1972;Collins
1952803;God bless love: A collection of children's sayings;Nanette Newman;1972;Collins
1953877;Collins guide to dinosaurs;David Lambert;1983;Collins
1961721;PADDINGTON GOES TO SALES L/CUB (Collins Colour Cubs);Michael Bond;1987;HarperCollins Publishers
1981307;The Cross Rabbit (Percy's Park);Nick Butterworth;1994;HarperCollins Publishers
1981323;The Badger's Bath (Percy's Park);Nick Butterworth;1996;HarperCollins Publishers
1981625;The Sea of Tranquility;Mark Haddon;1996;HarperCollins Publishers
2000202;Black Berry, Sweet Juice: On Being Black and White in Canada;Lawrence Hill;2001;HarperFlamingo Canada
2000288;Farley: The Life of Farley Mowat;James King;2002;HarperFlamingo Canada
2000369;Frederick Street: Living and Dying on Canada's Love Canal (Phyllis Bruce Books);Maude Barlow;2000;HarperCollins Publishers
2000547;Fatal Passage: The Untold Story of John Rae, the Arctic Adventurer Who Discovered the Fate of Franklin;Kenneth McGoogan;2001;HarperFlamingo Canada
2005018;Clara Callan;Richard Bruce Wright;2001;HarperFlamingo Canada
2005050;The Romantic;Barbara Gowdy;2003;HarperFlamingo Canada
2005395;Deafening;Frances Itani;2003;HarperFlamingo Canada
2005557;A Blade of Grass;Lewis Desoto;2003;HarperFlamingo Canada
2006502;The Devil Is Clever: A Memoir of My Romanian Mother;Kenneth Radu;2004;HarperFlamingo Canada
2006588;Vancouver;David Cruise;2003;HarperFlamingo Canada
2111314;The companion guide to Tuscany;Archibald Lyall;1973;Collins
2113570;"In the shadow of man;";Jane Goodall;1971;Collins
2114038;The Great Rebellion: Vol.1: The King's Peace 1637-1641;C. V. Wedgwood;1979;HarperCollins Publishers
2115328;Mother Teresa: Her people and her work;Desmond Doig;1976;Collins
2116286;There's A Seal in my Sleeping Bag;Lyn Hancock;1992;Harper Collins Canada
2118572;Time and chance: An autobiography;Peter Townsend;1978;Collins
2118580;Audacity to believe;Sheila Cassidy;1977;Collins
2130289;The badger (A New naturalist monograph);Ernest G Neal;1975;Collins
2153572;Wild swans: Three daughters of China;Jung Chang;1991;Harper Collins
2154064;All My Road Before Me: The Diary of C.S.Lewis 1922-27;C.S. Lewis;1990;HarperCollins Publishers
2154390;"Videotrash &amp; Treasures: A Field Guide to the Video Unknown (Video Trash &amp; Treasures)";L. A. Morse;1992;Harpercollins
2154900;Anna and the Black Knight;Fynn;1990;HarperCollins Publishers
2154978;The Boy Who Couldn't Stop Washing: The Experience and Treatment of Obsessive-compulsive Disorder;Judith Rapoport MD;1990;HarperCollins Publishers
2156083;Of This and Other Worlds;C. S. Lewis;1982;"Harper &amp; Collins"
2156601;Perestroika : new thinking for our country and the world;Mikhail Sergeevich Gorbachev;1987;Collins
2156970;Inside memory: Pages from a writer's workbook;Timothy Findley;1990;HarperCollinsPublishers
2157101;Roseanne: My Life as a Woman;Roseanne Barr;1990;HarperCollins Publishers
2157411;King Edward VIII: The official biography;Philip Ziegler;1990;Collins
2157446;The valour and the horror: The untold story of Canadians in the Second World War;Merrily Weisbord;1991;Harper Collins
2157853;Shifting Gears: Thriving in the New Economy;Nuala Beck;1995;HarperCollins Publishers
2157950;Faultlines: Struggling for a Canadian vision;Jeffrey Simpson;1993;HarperCollins
2158698;Challenge to Civilization a History Of;Martin Gilbert;Unknown;Harpercollins Uk
2158973;Landscape and Memory;Simon Schama;Unknown;Harpercollins Publisher
2159767;China Tide;Margaret Cannon;Unknown;Harpercollins Publisher
2160099;Living through the Blitz;Tom Harrisson;1976;Collins
2160595;C. S. Lewis: A biography;Roger Lancelyn Green;1974;Collins
2162857;Bedside Guardian 29;W L Webb;Unknown;Harpercollins Publisher
2163578;Cry of the Kalahari;Mark Owens;1985;Collins
2163713;Cary Grant, haunted idol;Geoffrey Wansell;1983;Collins
2164868;Loving hands: The traditional Indian art of baby massage;Fr̩d̩rick Leboyer;1977;Collins
2165368;Arthur C. Clarke's mysterious world;Simon Welfare;1980;Collins
2166607;Travelling reserve;Ian Wooldridge;1982;Collins
2166631;Arthur Bryant: Portrait of a historian;Pamela Street;1979;Collins
2166798;Arthur C. Clarke's World of strange powers;John Fairley;1984;Collins
2166828;Memoirs of a great Canadian detective: Incidents in the life of John Wilson Murray;John Wilson Murray;1977;Collins
2167425;The stationary ark;Gerald Malcolm Durrell;1976;Collins
2169290;For Goodness Sake;Merren Parker;Unknown;Harpercollins Publisher
2172739;Bonnie Sterns Cuisinart Cookbook;Bonnie Stern;1985;Cuisinarts
2173611;The fatal shore: A history of the transportation of convicts to Australia, 1787-1868;Robert Hughes;1987;Collins Harvill
2174154;Back to Cape Horn;Rosie Swale;1986;Collins
2176084;The diaries of Lord Louis Mountbatten, 1920-1922: Tours with the Prince of Wales;Louis Mountbatten Mountbatten of Burma;1987;Collins
2176181;Arthur C. Clarke's chronicles of the strange and mysterious;John Fairley;1987;Collins
2176432;The Financial post selects the 100 best companies to work for in Canada;Eva Innes;1986;Collins
2177803;Still Dancing: My Story;Lew Grade;1992;Harpercollins
2179687;Christmas in America: Images of the Holiday Season by 100 of America's Leading Photographers;David Cohen;1988;Collins Pub San Francisco
2179695;A Day in the Life of the Soviet Union;Rick Smolan;1991;Harpercollins Juvenile Books
2181924;The Illustrated Brontes of Haworth: Scenes and Characters from the Lives and Writings of the Bronte Sisters (Willow Books);Brian Wilks;1989;Smithmark Pub
2184974;Nigel Mansell My Autobiography;Nigel Mansell;1996;Harpercollins
2187272;Mr. Wright;Ian Wright;1997;HarperCollinsWillow
2189569;Botham's Century: My 100 Great Cricketing Characters;Ian Botham;2001;HarperCollins UK
2190206;Heathlands (The New naturalist library);Nigel Webb;1986;Collins
2190915;Life on earth: A natural history;David Attenborough;1979;Collins
2191792;Birds of East Africa (Collins Field Guides);John G. Williams;1995;Trafalgar Square
2192152;National Parks of East Africa (Collins Field Guides);John G. Williams;1995;HarperCollins Publishers
2195690;Richard Bell's Britain;Richard Bell;1981;"Harper &amp; Collins"
2197154;The wild flowers of Britain and northern Europe;Richard Sidney Richmond Fitter;1985;Collins
2197286;Collins Bird Guide: The Most Complete Field Guide to the Birds of Britain and Europe;L. Svensson;1998;Trafalgar Square
2198274;The first Eden: The Mediterranean world and man;David Attenborough;1987;BBC Books
2199009;Collins Field Guide Birds of Britain and Europe;Roger Tory Peterson;Unknown;Harper Collins Publishers
2199793;Collins Pocket Guide to Stars and Planets;Ian Ridpath;1994;Trafalgar Square
2200309;Seashore (Collins New Naturalist);Peter Hayward;2004;Collins
2200813;Lichens (New Naturalist);Oliver Gilbert;2000;Trafalgar Square
2200821;Lichens (New Naturalist);Oliver Gilbert;2000;Trafalgar Square
2201402;British Bats (Collins New Naturalist);John D. Altringham;2003;Trafalgar Square
2201410;Moths (New Naturalist);Michael E. N. Majerus;2002;HarperCollins UK
2201453;Loch Lomondside;John Mitchell;2001;Trafalgar Square
2202107;HOUSE DOCTOR;Ann Maurice;2000;Trafalgar Square
2210436;Agent In Place;Helen Macinnes;Unknown;Collins
2210479;A bridge of magpies;Geoffrey Jenkins;1974;Collins
2210843;Bear Island;Alistair MacLean;1971;Collins
2210967;"The black moon;: A novel of Cornwall, 1794-5";Winston Graham;1973;Collins
2211483;Dragonmede;Rona Randall;1974;Collins
2211890;The devil is loose;Graham Shelby;1973;Collins
2212064;The Echoing Grove;Rosamond Lehmann;1984;HarperCollins Publishers
2212080;The eagle has landed;Jack Higgins;1975;Collins
2213656;"Peter's pence;: A novel";Jon Cleary;1974;Collins
2214067;King Cotton;Thomas Armstrong;1985;HarperCollins Publishers
2215039;My Son, My Son;Howard Spring;1980;HarperCollins Publishers
2215470;Breakheart Pass;Alistair MacLean;1974;Collins
2215497;The private life of Mona Lisa;Pierre La Mure;1976;Collins
2215810;Lord of the Far Island;Victoria Holt;1975;Collins
2215837;The enemy;Desmond Bagley;1977;Collins
2216140;Offshore;Penelope Fitzgerald;1979;Collins
2216485;Puppet on a chain;Alistair MacLean;1969;Collins
2216582;The perfect carrier;Sheila Ross;1972;Collins
2217422;The spoilers;Desmond Bagley;1969;Collins
2219336;"The woman destroyed;";Simone de Beauvoir;1969;Collins
2219476;The way to dusty death;Alistair MacLean;1973;Collins
2219697;Trigger;Antony Melville-Ross;1982;"Harper &amp; Collins"
2219808;The Zhukov briefing;Antony Trew;1975;Collins
2219980;Contract;Gerald Seymour;1980;"Harper &amp; Collins"
2220032;Airscream;John Bruce;1977;Collins
2220776;I Heard the Owl Call My Name;Margaret Craven;Unknown;Harpercollins Publisher
2221160;Solo;Jack Higgns;Unknown;Collins
2222469;The four swans: A novel of Cornwall 1795-7;Winston Graham;1976;Collins
2222590;The Golden Gate;Alistair MacLean;1976;Collins
2222671;The navigator;Morris L West;1976;Collins
2222752;Goodbye California;Alistair MacLean;1977;Collins
2223198;The weaver's apprentice;Michael Brown;1986;Collins
2223368;Open Secret;James Leasor;1982;"Harper &amp; Collins"
2223589;Bahama Crisis;Desmond Bagley;1981;"Harper &amp; Collins"
2223929;Men on white horses;Pamela Haines;1978;Collins
2224216;The angry tide: A novel of Cornwall, 1798-9;Winston Graham;1977;Collins
2224356;Black Camelot;Duncan Kyle;1978;Collins
2224607;Storm warning;Jack Higgins;1976;Collins
2224682;Seawitch;Alistair MacLean;1977;Collins
2226162;The stranger from the sea: A novel of Cornwall 1810-1811;Winston Graham;1981;Collins
2227045;The phoenix tree;Jon Cleary;1984;Collins
2227150;White Gold Wielder;Stephen R Donaldson;Unknown;Collins
2228394;How to Shoot an Amateur Naturalist;Gerald Durrell;1984;HarperCollins Publishers
2228424;Kootenay Kidnapper;Eric Wilson;1984;Totem Books
2228556;Final Decree;George Jonas;Unknown;Harpercollins Publisher
2229544;Cold New Dawn;Ian St James;1987;HarperCollins Publishers
2231352;Chapter of Echoes;Aileen Armitage;1989;HarperCollins Publishers
2231441;Family business;Anna Murdoch;1988;Collins
2233495;The cloning of Joanna May;Fay Weldon;1989;Collins
2233509;Darcys Utopia;Fay Weldon;Unknown;Harpercollins Uk
2233711;Well of Time Uk;Tom Henighan;Unknown;Harpercollins Publisher
2234424;A song at twilight;Bryan Forbes;1989;Collins
2234440;The Raven on the Water;Andrew Taylor;1991;HarperCollins Publishers
2234491;Wall games;Michael Dobbs;1990;Collins
2234734;The Colours of Her Day;Valerie Blumenthal;1989;"Harper &amp; Collins"
2234947;Miss Hobbema Pageant;W.P. Kinsella;1990;Harpercollins Juvenile Books
2235013;Alistair MacLean's Night Watch;Alistair MacNeill;1990;"Harper &amp; Collins"
2235390;"The Way We Lived Then: The \English Story\"" in the 1940s""";Woodrow Wyatt;1989;HarperCollins Publishers
2237458;Headhunter: A novel;Timothy Findley;1993;HarperCollins
2237520;Box socials: A novel;W. P Kinsella;1991;HarperCollins
2237857;The Trojan Hearse;Brian Callison;1991;Trafalgar Square
2238861;To Play the King;Michael Dobbs;1992;Harpercollins
2239183;Affliction;Fay Weldon;Unknown;Harpercollins Uk
2239213;Wicked women: A collection of short stories;Fay Weldon;1995;Flamingo
2240009;One good story, that one: Stories;Thomas King;1993;HarperPerennial
2240017;Wedding cakes, rats, and rodeo queens;Anne Cameron;1994;HarperCollins
2240114;The Dixon Cornbelt League and other baseball stories;W. P Kinsella;1993;HarperCollins
2241358;Cocaine nights;J. G Ballard;1996;Flamingo
2241447;The Thief of Always: A Fable;Clive Barker;1992;Harpercollins Publisher
2242591;Finding Moon;Tony Hillerman;Unknown;Harpercollins Publisher
2243016;Desperadoes;Joseph O'Connor;1994;Flamingo
2243687;Brother Frank's gospel hour: And other stories;W. P Kinsella;1994;HarperCollins
2243733;In the language of love: A novel in 100 chapters;Diane Schoemperlen;1994;HarperCollins Pubrs
2243776;Visible Worlds: A Novel;Marilyn Bowering;1997;Harpercollins Canada
2243792;The Piano Man's Daughter;Timothy Findley;1995;HarperCollins Publishers
2243806;The winter Helen dropped by: A novel;W. P Kinsella;1995;HarperCollins Publishers
2243865;The Garden of Eden;Sharon Butala;1998;HarperCollins Publishers
2243954;White Bone;Barbara Gowdy;Unknown;Harpercollins
2243962;Girlfriend In a Coma;Douglas Coupland;Unknown;Harper Collins Publishers
2244098;Dust to dust: Stories;Timothy Findley;1997;HarperCollins
2244705;Charity;Len Deighton;1996;HarperCollinsPublishers
2245426;Autumn maze;Jon Cleary;1994;HarperCollins
2245663;Forms of Devotion: Stories and Pictures;Diane Schoemperlen;1998;Harpercollins Canada
2245671;Any Known Blood;Lawrence Hill;1997;Harpercollins Canada
2245728;Freedom's Just Another Word;Dakota Hamilton;1998;HarperCollins Canada
2250101;Sharpe's tiger: Richard Sharpe and the Siege of Seringapatam, 1799;Bernard Cornwell;1997;HarperCollins
2250780;Candles: Elements of the Table;Sara Slavin;1996;Collins Publishers
2250810;Santa Speaks: The Wit and Wisdom of Santas Across the Nation;Michael Patrick Collins;1995;Harpercollins
2250985;Breakfast in Bed : 90 Recipes for Creative Indulgences;Jesse Z. Cool;1997;HarperCollins
2251000;NBA: The Official Fan's Guide;Mark Vancil;1995;Harpercollins
2251183;Christmas Around the World (Day in the Life Series);Matthew Naythons;1996;Harpercollins
2251213;Ronald Reagan: The Wisdom and Humor of the Great Communicator;Ronald Reagan;1995;Harpercollins
2251485;Love Isn't Easy (Passionate Peanuts);Charles M. Schulz;1996;Perennial Currents
2251760;The Forgetting Room: A Fiction (Byzantium Book);Nick Bantock;1997;Harpercollins
2251892;Muhammad Ali in Perspective;Thomas Hauser;1996;Harpercollins
2251930;Way Beyond Therapy (Peanuts at Work and Play);Charles M. Schulz;1996;Collins Publishers
2252031;A Good Caddie is Hard to Find (Peanuts at Work and Play);Charles M. Schulz;1996;Harpercollins
2252066;Monet: The Artist Speaks;Claude Monet;1996;HarperCollins Publishers
2252341;The British ambassador;Michael Shea;1996;HarperCollins
2252376;Of wee sweetie mice and men;Colin Bateman;1996;HarperCollins
2253097;Toad Triumphant;William Horwood;1995;HarperCollins
2253178;Earthly Joys;Philippa Gregory;1998;Harpercollins
2253186;Fourth Estate;Jeffrey Archer;Unknown;Harpercollins Uk
2253305;The biographer's moustache;Kingsley Amis;1995;Flamingo
2253372;A good woman;Lisa Appignanesi;1996;HarperCollins Publishers
2253402;Anita and me;Meera Syal;1996;Indus
2253569;Information;Martin Amis;Unknown;Daedalus Books Inc Remainders
2253984;A proper holiday;Ann Oakley;1996;HarperCollins Publishers
2254123;The Buddha of Brewer Street;Michael Dobbs;1997;HarperCollins Publishers
2254131;Acts of Betrayal;Michael Dobbs;2000;Trafalgar Square
2254182;Maid of the Mist;Colin Bateman;1999;HarperCollins
2254271;Traces;Stephen Baxter;1998;HarperCollins
2254301;All the Sweet Promises;Elizabeth Elgin;1996;HarperCollins Publishers
2254697;Mourning Doves;Helen Forrester;Unknown;Harpercollins
2255006;The Girl Without Anyone;Kelli Deeth;2001;HarperFestival
2255014;Leaning, leaning over water: A novel in ten stories;Frances Itani;1998;HarperCollins
2255081;Spadework;Timothy Findley;2001;HarperFlamingo Canada
2255103;Our Lady of the Lost and Found;Diane Schoemperlen;2001;HarperFlamingo Canada
2255146;Ice Lake;John Farrow;2001;HarperCollins Publishers
2255243;The Ash Garden;Dennis Bock;2001;HarperFlamingo Canada
2255464;"Goblins ;: &amp;, Whirlwind";Charles L Grant;1996;Voyager
2255553;The boy in the moon;Kate O'Riordan;1997;Flamingo
2255731;Mariana;Katherine Vaz;1997;Flamingo
2255855;Black Ajax;George MacDonald Fraser;1997;HarperCollins Publishers
2256886;Araby;Gretta Mulrooney;1998;HarperCollins Publishers
2256967;Eleventh Commandment;Jeffrey Archer;Unknown;Harper Collins Publishers
2257084;Dolce Vita;Iseult Teran;1999;HarperCollins Publishers
2257114;The Holy City;Meg Henderson;1997;Flamingo
2257122;Thunderbolt From Navarone;Sam Llewellyn;1998;HarperCollins
2257203;Restraint of Beasts;Magnus Mills;Unknown;Harpercollins Uk
2257378;Most Wanted;Jacquelyn Mitchard;Unknown;Harpercollins
2257580;Jesus and the Adman;Rhidian Brook;1998;Flamingo
2258358;Prospero's Children;Jan Siegel;1999;Voyager
2258366;Prospero's Children;Jan Siegel;1999;Voyager
2258382;The Dragon Charmer;Jan Siegel;2000;Voyager
2258560;Is Shane MacGowan Still Alive?;Tim Bradford;2000;Flamingo
2258579;Resurrection Club;Christopher Wallace;1999;Harpercollins Uk
2258587;The Pirate;Christopher Wallace;2001;Flamingo
2259478;In This Block Ther Lives a Slag and Other Yorkshire Fables;Bill Broady;2002;Flamingo
2259834;Miss Wyoming Uk Edition;Douglas Coupland;Unknown;Harpercollins Publisher
2259877;Lust, Or, No Harm Done;Geoff Ryman;2001;Flamingo
2261022;The Glass Palace;Amitav Ghosh;2000;Trafalgar Square
2261189;Mohammed Maguire;Colin Bateman;2001;HarperCollins
2261200;The Coins of Judas;Scott McBain;2000;HarperCollins
2261529;Temptation;Dermot Bolger;2000;Harpercollins
2261804;No Bones;Anna Burns;2001;Flamingo
2261820;One for My Baby;Tony Parsons;2001;HarperCollins Publishers
2310694;Black as he's painted;Ngaio Marsh;1974;Collins [for] the Crime Club
2311216;Passenger to Frankfurt: An extravaganza,;Agatha Christie;1970;[Published for] the Crime Club [by] Collins
2313073;His burial too;Catherine Aird;1973;Collins
2313189;Hot pursuit;Gavin Scott;1977;Collins [for] the Crime Club
2315394;Murder on the Orient express;Agatha Christie;1974;Collins for the Crime Club
2316196;Curtain: Poirot's last case;Agatha Christie;1975;Collins
2317141;Counterstroke;Andrew Garve;1978;Collins [for] the Crime Club
2317850;Sleeping murder: Miss Marple's last case;Agatha Christie;1976;Collins [for] the Crime Club
2322951;Murder in Good Measure;Margaret Moore;1990;HarperCollins Publishers
2323338;Deathwater;Anne Infante;1991;Crime Club
2323540;Fringe Ending;Margaret Moore;1991;HarperCollins Publishers
2325780;Accident by Design;J. M. Gregson;1996;Harpercollins
2326833;Silent playgrounds;Danuta Reah;2000;Collins Crime
2431548;Dark Crusader;Alistair MaClean;1969;HarperCollins Publishers
2550059;In Pursuit of Ideas: A Year in the Life of the University of California;Mark MacNamara;1992;Harpercollins
2550156;I hope;Raisa Maksimovna Gorbacheva;1991;HarperCollins Publishers
2550555;A Day in the Life of Hollywood (Day in the Life);Bill Messing;1992;Collins Publishers
2550563;"Black &amp; White Cats";J.C. Suares;1992;HarperCollins
2551195;A Day in the Life of Israel;David Elliot Cohen;1994;HarperCollins
2551462;Sentimental Journeys;Joan Didion;Unknown;Harpercollins Uk
2551675;Coppola and Eiko on Bram Stoker's Dracula;Francis Ford Coppola;1992;Harpercollins
2552175;Hollywood Cats;J. C. Suares;1993;Harpercollins
2552256;Apples: A Country Garden Cookbook (Country Garden Cookbook);Christopher Idone;1993;Cookbooks
2552272;Icons: Creativity With Camera and Computer;Douglas Kirkland;1993;Harpercollins
2552396;My Story;Lesley Player;1993;HarperCollins
2552574;I Dream of Madonna: Women's Dreams of the Goddess of Pop;Kay Turner;1993;Harpercollins
2553384;The Best of Rock: The Essential Cd Guide (The Essential CD Guides);Alan Clayson;1993;Harpercollins
2553686;Married in the Movies;Kyle Roderick;1994;Harpercollins
2554062;Shadow Maker: The Life of Gwendolyn Macewen;Rosemary Sullivan;1995;HarperCollins Publishers
2554119;Labyrinth of Desire: Women, Passion, and Romantic Obsession;Rosemary Sullivan;2001;HarperFlamingo Canada
2554151;The Gift of Death: Confronting Canada's Tainted Blood Tragedy;Andre Picard;1995;HarperCollins Publishers
2554232;The Red Shoes: Margaret Atwood Starting Out;Rosemary Sullivan;1998;HarperCollins Publishers
2554259;Excelerate: Growing in the new economy;Nuala Beck;1995;HarperCollins
2554283;Organization 2000: The Essential Guide for Companies and Teams in the New Economy;Leslie Bendaly;1996;HarperCollins Publishers
2554429;Bank Heist: How Our Financial Giants Are Costing You Money;Walter Stewart;1997;Harper Collins Canada
2554925;The Country Dried Flower Companion (Country Companion);Stephen Woodhams;1995;Harpercollins
2555107;Age of Kali Travels and Encounters In Indi;William Dalrymple;1998;Harpercollins Uk
2555298;Love Lies: What Men Don't Know and Women Won't Admit;Deborah McKinlay;1994;HarperCollins Publishers
2555565;Backwards out of the big world: A voyage into Portugal;Paul Hyland;1996;HarperCollins
2556030;A merry dance around the world: The best of Eric Newby;Eric Newby;1995;HarperCollins Publishers
2557029;Truth Is Out There the Official Guide to the X;Brian Lowry;Unknown;Harpercollins Publisher
2557290;From Stone Orchard: A collection of memories;Timothy Findley;1998;HarperFlamingo Canada
2557398;The Geometry of Love: Space, Time, Mystery, and Meaning in an Ordinary Church;Margaret Visser;2001;HarperFlamingo Canada
2557487;Activation: The Core Competency;Edmund J. Freedberg;1997;HarperCollins Publishers
2557517;A Hand in the Water: The Many Lies of Albert Walker;Bill Schiller;1999;HarperCollins Publishers
2558033;The Sas Urban Survival Handbook (SAS Survival);John Wiseman;1996;HarperCollins Publishers
2558122;Angelas Ashes;Frank Mccourt;Unknown;Harpercollins Australia
2558386;Alien Agenda: The Untold Story of the Extraterrestrials Among Us;Jim Marrs;1997;Pub Overstock Unlimited Inc
2558661;Expression of the Emotions In Man and Anim;Charles Darwin;Unknown;Harper Collins Publishers
2570130;Under the Dragon Travels In a Betrayed L;Rory Maclean;Unknown;Harpercollins Publisher
2621010;Pippa's challenge;Joy Adamson;1972;"Collins &amp; Harvill Press"
2621509;Alexander Dolgun's story: An American in the Gulag;Alexander Dolgun;1975;Collins : Harvill Press
2711567;Doctor Zhivago;Boris Pasternak;Unknown;Collins Harvill Pr
2712172;The Death of the Body;C.K. Stead;1993;Harpercollins
2712180;Sister Hollywood;C.K. Stead;1994;Harpercollins
2713276;Bell' Antonio;Vitaliano Brancati;1994;Harpercollins
2713349;Miss Smillas Feeling for Snow;Hoeg Peter;Unknown;Harvill Press
2720310;Hunting Mister Heartbreak;Jonathan Raban;1990;Collins Harvill
2726874;Quartered Safe Out Here: A Recollection of the War in Burma;George MacDonald Fraser;1994;Acacia Press, Inc.
2727463;Steel Bonnets: The Story of the Anglo-Scottish Border Reivers;George MacDonald Fraser;1998;Trafalgar Square
2740060;Futurewise;Patrick Dixon;1998;HarperCollins
2740230;Keep It Simple: And Get More Out of Life;Nick Page;1999;Trafalgar Square
2740435;Survival Of The Fittest (Logan);Logan;1999;Trafalgar Square
2740958;Old Thunder;Joseph Pearce;2002;HarperCollins
3032701;Letterland ABC Book;Richard Carlisle;1996;HarperCollins Publishers
3131696;One, Two, Three and Away!: Green Book 1 - The Village with Three Corners (One, Two, Three and Away!);Sheila McCullagh;1985;HarperCollins Publishers
3135004;Collins Book Bus: The Basket-maker's Donkey;Ginny Lapage;1990;HarperCollins Publishers
3235173;"Collins Study and Revision Guides: Instant Revision - GCSE Geography (Collins Study &amp; Revision Guides)";Nicholas Rowles;1999;Collins
3252477;"A midsummer night's dream; (The Alexander Shakespeare)";William Shakespeare;1972;Collins
3252485;"King Richard III; (The Alexander Shakespeare)";William Shakespeare;1973;Collins
3252531;Macbeth (The Alexander Shakespeare);William Shakespeare;1973;Collins
3272109;Gladstone and Disraeli, (Britain in modern times);B. H Abbott;1972;Collins
3277585;Economics Explained;Peter Maunder;2000;Collins Educational
3300277;"Cascades - \Fahrenheit 451\"" (Collins Cascades)""";Ray Bradbury;1985;HarperCollins Publishers
3302474;Cascades: The Indian in the Cupboard;Lynn Reid Banks;1991;HarperCollins Publishers
3700933;Custer's Gold;Ulyatt;1991;Addison Wesley Publishing Company
3701131;Fast Money: Level 1 - Beginner (Nelson Readers);K.R. Cripwell;1979;Pearson English Language Teaching
